,satur index,sterol conc,particle,starting conf,compress,perm,perm err,thickness
81,0.3,15,S,gel,41.900291509100526,30.691440413512314,5.604762529471746,4.093506455824585
82,0.3,15,S,fluid,64.27427272766309,34.78145216194191,8.000718034515558,4.09137703847858
83,0.05,15,S,gel,509.8071315025284,0.5646880231419004,0.18137081542083255,4.956693743798645
84,0.05,15,S,fluid,71.07503268969786,19.39097280427444,3.7917034328754,4.38806084576229
85,0.5,15,S,gel,56.595999593044176,44.83231756750892,8.628286069824112,3.940821119378036
86,0.5,15,S,fluid,62.017524540097476,32.04499763307296,6.2791519182463515,3.9418485312926634
87,0.0,15,S,gel,617.9485574774692,0.3433525749144525,0.10663188798736324,4.969206024205498
88,0.0,15,S,fluid(1),,0.952004370326043,0.8785095808187853,
89,0.0,15,S,gel(1),,0.27281852260052936,0.13833946769048366,
90,0.0,15,S,fluid,100.44391872307897,0.47773134725124033,0.35172051440674185,4.961832068881506
91,0.1,15,S,gel,431.2307896543086,0.6599250571340599,0.21946983351905563,4.949961261835831
92,0.1,15,S,fluid,71.95382630095268,22.659426026996858,3.4548380605710585,4.316881885123031
93,0.45,15,S,gel,56.619259407936035,47.75790471920412,9.937514788536992,3.9707424286623336
94,0.45,15,S,fluid,61.27533249918163,33.71439658939816,5.6510984572300895,3.97173050048616
95,0.25,15,S,gel,18.326838494065203,25.176587674307722,5.253715241311026,4.148638372301093
96,0.25,15,S,fluid,67.1931817416751,33.18866769940124,5.739577818020765,4.1397028425800215
97,0.15,15,S,gel,358.5606416591834,0.9688356893939007,0.23450308919949053,4.9360053876705905
98,0.15,15,S,fluid,69.95179781216274,24.706971950281147,4.022117141351881,4.250868339578446
99,0.4,15,S,gel,56.42470480690822,29.9021400879819,4.690816946047811,4.005860387695648
100,0.4,15,S,fluid,61.73962981167631,39.49373561340774,6.965157148525584,4.009708072220121
101,0.35,15,S,gel,53.7459195804576,29.125114972562123,5.500378795008888,4.0479174381743235
102,0.35,15,S,fluid,63.305993052527086,31.129844777447033,6.074196332166899,4.047661903347937
103,0.2,30,R,LOrdered,95.67867749687008,23.726619433998852,6.995653096133944,4.276652764229031
104,0.3,30,R,LOrdered,82.84765718390364,28.979787019690896,7.653485542447972,4.179114807152388
105,0.05,30,R,LOrdered,117.33703081997886,15.27602926678635,4.482161740283976,4.435266738918752
106,0.5,30,R,LOrdered,71.94735061484738,38.72857254775646,9.16611398045159,4.020866269022726
107,0.0,30,R,LOrdered,115.54169468337675,13.993768952240115,3.8474862212363736,4.4996580281547764
108,0.1,30,R,LOrdered,105.47675234156426,12.440917837972263,2.824488310568216,4.380395871788995
109,0.45,30,R,LOrdered,72.67184623477392,39.05882252094449,14.031968976029786,4.057807516645415
110,0.25,30,R,LOrdered,88.13673357949975,31.037458360219098,17.194711122806527,4.225822307579957
111,0.15,30,R,LOrdered,98.2656755407426,18.42274838872926,5.459318305193311,4.329689795319972
112,0.4,30,R,LOrdered,74.91365731490167,27.842836623614726,6.461610170059069,4.0933930601813024
113,0.35,30,R,LOrdered,78.88796100827244,35.156538475976774,9.613843934279208,4.1363405431492275
114,0.2,30,T,LOrdered,93.66713806176381,17.991631742915402,2.5980614734916228,4.275682758632875
115,0.3,30,T,LOrdered,83.08712922913827,20.5652454879979,3.267238554990129,4.179854789359734
116,0.05,30,T,LOrdered,115.73890180333767,10.489276318939021,1.8167739544610786,4.434884802819816
117,0.5,30,T,LOrdered,70.2722239295058,23.39492398394046,3.978393448362397,4.020824203806079
118,0.0,30,T,LOrdered,117.37847157084441,10.915648097360704,1.7045651099628725,4.4977022684580135
119,0.1,30,T,LOrdered,107.07231399124495,13.305925663941881,1.9415215910410912,4.381701599536793
120,0.45,30,T,LOrdered,75.52717045343485,21.560523044417085,3.1689302086689275,4.055603014323907
121,0.25,30,T,LOrdered,88.41191954486621,25.1482783306469,5.000714564146221,4.228696324643202
122,0.15,30,T,LOrdered,101.76540948607537,17.561692162166516,3.066194761539142,4.326414541352385
123,0.4,30,T,LOrdered,75.50311352017361,21.43037054509212,3.5647467917108107,4.093110966525078
124,0.35,30,T,LOrdered,80.2978554335103,25.6557192714674,5.380991067708669,4.136318125481125
125,0.2,30,S,LOrdered,93.88542617679893,22.389750736537273,4.338009763664376,4.277808682056396
126,0.3,30,S,LOrdered,83.2676794438896,19.55296444885846,3.6674597119100043,4.181946102967206
127,0.05,30,S,LOrdered,112.84607851300696,13.980951150876608,2.4591672323301608,4.435982219136399
128,0.5,30,S,LOrdered,70.55613340075331,36.7562357736316,9.396249299136494,4.01826797746234
129,0.0,30,S,LOrdered,115.75397135927753,8.467940379520092,1.344580776518521,4.495002818180943
130,0.0,30,S,LOrdered(1),,8.164915949534878,1.361119037053388,
131,0.1,30,S,LOrdered,109.70970543179051,11.578785141981248,1.8033210657159817,4.3813980891598945
132,0.45,30,S,LOrdered,74.05172671027266,28.43010423928405,5.538162954229707,4.057307432616533
133,0.25,30,S,LOrdered,88.93270546949904,24.17969980051173,5.548325750037516,4.2262911390953235
134,0.15,30,S,LOrdered,104.37435240429431,14.105773441537842,2.5498823765251597,4.326794837186178
